"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"phi[71]",0.496552538923132,0.00866533795763161,0.490586692201945,-0.462102869752936,0.166258239649036,0.494368430879228,0.826269080901636,1.46574126316861,3205.23971863014,1.00331770588661
"phi[72]",-0.0182050075939528,0.00853658768632126,0.59987499852466,-1.19130007535107,-0.423432346994705,-0.0233599638068764,0.385751559540387,1.16427550607658,4938.02077086287,1.00292016449005
"phi[73]",0.000517801375297698,0.00884862668342313,0.524714584417911,-1.01928025249221,-0.353454797121644,0.000809493493703962,0.355150122267257,1.03140536654333,3516.36966823034,1.00394267580611
"phi[74]",0.0585037725460066,0.00951993887642895,0.556931701758523,-1.0216072276456,-0.316082357198921,0.0533759290575891,0.434801655228065,1.15467780581376,3422.43776281756,1.00395829029589
"phi[75]",0.424716168434729,0.00824036351692784,0.591505737620755,-0.725812878401415,0.0279128574843382,0.419446674830633,0.824006136578876,1.59357589899927,5152.58520273709,1.00201075029877
"phi[76]",0.249204222063182,0.00887332123124924,0.496438122612547,-0.726077488193705,-0.0861547440003898,0.249746264356244,0.581522819215309,1.2198411561747,3130.09732172512,1.00415072875172
"phi[77]",0.204659458613817,0.00833121763008608,0.471720991172498,-0.723708344012079,-0.113797865736886,0.205186508615934,0.520890763383541,1.12666829404969,3205.92564889194,1.003400909897
"phi[78]",0.0776520597091997,0.00901394203972844,0.523307018506907,-0.931118676772691,-0.278041508259885,0.074528431172585,0.430622724167155,1.10094718623271,3370.41668857628,1.00711133419778
"phi[79]",0.639064839567561,0.00913708530309022,0.521838935951348,-0.378925590945167,0.287214924417745,0.635366008325798,0.99250861749402,1.67022225044946,3261.8020475154,1.00547910729511
"phi[80]",-0.157076423062505,0.00982668492526335,0.509995421088882,-1.15489739919203,-0.502020335230117,-0.155127807691631,0.185701467890211,0.846962143947409,2693.50937147439,1.00833831964313
"phi[81]",-0.00523650404338865,0.00900549061382319,0.556443243540218,-1.09909289216927,-0.382511043017665,-0.00195622630658634,0.375342074940417,1.06735952148465,3817.92146913819,1.00671703347486
"phi[82]",0.893440019663375,0.0107134115419657,0.50328070326002,-0.080215428897765,0.552692081598908,0.895385967843044,1.23033987047585,1.88121836110742,2206.81019623047,1.00781079645168
